ID ligne,ID commande,Date de commande,Date d'expédition,Mode d'expédition,ID client,Nom du client,Segment,Pays/région,Ville,État/Province,Région de vente,ID produit,Catégorie,Sous-catégorie,Nom du produit,Montant des ventes,Quantité,Remise,Profit
1,US-2017-152156,11/8/2017,11/11/2017,J+2,CG-12520,Claire Gute,Grand public,États-Unis,Henderson,Kentucky,USCA - Sud,FUR-BO-10001798,Mobilier,Bibliothèques,Bush Somerset Collection Bookcase,261.96,2,0,41.91
2,US-2017-152156,11/8/2017,11/11/2017,J+2,CG-12520,Claire Gute,Grand public,États-Unis,Henderson,Kentucky,USCA - Sud,FUR-CH-10000454,Mobilier,Chaises,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.58
3,US-2017-138688,6/12/2017,6/16/2017,J+2,DV-13045,Darrin Van Huff,Entreprise,États-Unis,Los Angeles,Californie,USCA - Ouest,OFF-LA-10000240,Fournitures de bureau,Étiquettes,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.87
14,US-2017-161389,12/5/2017,12/10/2017,Tarif normal,IM-15070,Irene Maddox,Grand public,États-Unis,Seattle,Washington,USCA - Ouest,OFF-BI-10003656,Fournitures de bureau,Classeurs,Fellowes PB200 Plastic Comb Binding Machine,407.98,3,0.2,132.59
22,US-2017-137330,12/9/2017,12/13/2017,Tarif normal,KB-16585,Ken Black,Entreprise,États-Unis,Fremont,Nebraska,USCA - Centre,OFF-AR-10000246,Fournitures de bureau,Art,Newell 318,19.46,7,0,5.06
23,US-2017-137330,12/9/2017,12/13/2017,Tarif normal,KB-16585,Ken Black,Entreprise,États-Unis,Fremont,Nebraska,USCA - Centre,OFF-AP-10001492,Fournitures de bureau,Électroménager,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.69
26,US-2017-121755,1/16/2017,1/20/2017,J+2,EH-13945,Eric Hoffmann,Grand public,États-Unis,Los Angeles,Californie,USCA - Ouest,OFF-BI-10001634,Fournitures de bureau,Classeurs,Wilson Jones Active Use Binders,11.65,2,0.2,4.22
27,US-2017-121755,1/16/2017,1/20/2017,J+2,EH-13945,Eric Hoffmann,Grand public,États-Unis,Los Angeles,Californie,USCA - Ouest,TEC-AC-10003027,Produits technologiques,Accessoires,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.77
36,US-2017-117590,12/8/2017,12/10/2017,Prioritaire,GH-14485,Gene Hale,Entreprise,États-Unis,Richardson,Texas,USCA - Centre,TEC-PH-10004977,Produits technologiques,Téléphones,GE 30524EE4,1097.54,7,0.2,123.47
37,US-2017-117590,12/8/2017,12/10/2017,Prioritaire,GH-14485,Gene Hale,Entreprise,États-Unis,Richardson,Texas,USCA - Centre,FUR-FU-10003664,Mobilier,Meubles,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.96
43,US-2017-101343,7/17/2017,7/22/2017,Tarif normal,RA-19885,Ruben Ausman,Entreprise,États-Unis,Los Angeles,Californie,USCA - Ouest,OFF-ST-10003479,Fournitures de bureau,Stockage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.89
45,US-2017-118255,3/11/2017,3/13/2017,Prioritaire,ON-18715,Odella Nelson,Entreprise,États-Unis,Eagan,Minnesota,USCA - Centre,TEC-AC-10000171,Produits technologiques,Accessoires,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.77
46,US-2017-118255,3/11/2017,3/13/2017,Prioritaire,ON-18715,Odella Nelson,Entreprise,États-Unis,Eagan,Minnesota,USCA - Centre,OFF-BI-10003291,Fournitures de bureau,Classeurs,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.21
48,US-2017-169194,6/20/2017,6/25/2017,Tarif normal,LH-16900,Lena Hernandez,Grand public,États-Unis,Dover,Delaware,USCA - Est,TEC-AC-10002167,Produits technologiques,Accessoires,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,4.95
49,US-2017-169194,6/20/2017,6/25/2017,Tarif normal,LH-16900,Lena Hernandez,Grand public,États-Unis,Dover,Delaware,USCA - Est,TEC-PH-10003988,Produits technologiques,Téléphones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.1
54,US-2017-105816,12/11/2017,12/17/2017,Tarif normal,JM-15265,Janet Molinari,Entreprise,États-Unis,New York City,New York,USCA - Est,OFF-FA-10000304,Fournitures de bureau,Éléments de fixation,Advantus Push Pins,15.26,7,0,6.26
55,US-2017-105816,12/11/2017,12/17/2017,Tarif normal,JM-15265,Janet Molinari,Entreprise,États-Unis,New York City,New York,USCA - Est,TEC-PH-10002447,Produits technologiques,Téléphones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.69
56,US-2017-111682,6/17/2017,6/18/2017,Prioritaire,TB-21055,Ted Butterfield,Grand public,États-Unis,Troy,New York,USCA - Est,OFF-ST-10000604,Fournitures de bureau,Stockage,Home/Office Personal File Carts,208.56,6,0,52.14
57,US-2017-111682,6/17/2017,6/18/2017,Prioritaire,TB-21055,Ted Butterfield,Grand public,États-Unis,Troy,New York,USCA - Est,OFF-PA-10001569,Fournitures de bureau,Papier,Xerox 232,32.4,5,0,15.55
58,US-2017-111682,6/17/2017,6/18/2017,Prioritaire,TB-21055,Ted Butterfield,Grand public,États-Unis,Troy,New York,USCA - Est,FUR-CH-10003968,Mobilier,Chaises,Novimex Turbo Task Chair,319.41,5,0.1,7.1
59,US-2017-111682,6/17/2017,6/18/2017,Prioritaire,TB-21055,Ted Butterfield,Grand public,États-Unis,Troy,New York,USCA - Est,OFF-PA-10000587,Fournitures de bureau,Papier,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.99
60,US-2017-111682,6/17/2017,6/18/2017,Prioritaire,TB-21055,Ted Butterfield,Grand public,États-Unis,Troy,New York,USCA - Est,TEC-AC-10002167,Produits technologiques,Accessoires,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3
61,US-2017-111682,6/17/2017,6/18/2017,Prioritaire,TB-21055,Ted Butterfield,Grand public,États-Unis,Troy,New York,USCA - Est,OFF-BI-10001460,Fournitures de bureau,Classeurs,Plastic Binding Combs,48.48,4,0.2,16.36
62,US-2017-111682,6/17/2017,6/18/2017,Prioritaire,TB-21055,Ted Butterfield,Grand public,États-Unis,Troy,New York,USCA - Est,OFF-AR-10001868,Fournitures de bureau,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84
70,US-2017-119823,6/4/2017,6/6/2017,Prioritaire,KD-16270,Karen Daniels,Grand public,États-Unis,Springfield,Virginie,USCA - Sud,OFF-PA-10000482,Fournitures de bureau,Papier,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.66
