ID ligne,ID commande,Année de la commande,Mois de la commande,Jour de la commande,Année de la livraison,Mois de la livraison,Jour de la livraison,Mode d'expédition,ID client,Nom du client,Segment,Ville,État/Province,Pays\Région,Région de vente,ID produit,Catégorie,Sous-catégorie,Remise,Produit,Montant des ventes,Quantité,Profit
1,MX-2018-143658,2018,10,2,2018,10,6,Tarif normal,RC-20575,Reyes Coto,Grand public,Ciudad de México,Distrito Federal,Mexique,LATAM - Nord,OFF-AR-10002640,Fournitures de bureau,Art,none,"Boston Pens, Blue",130.8,3,45.6
2,CO-2016-155047,2016,10,16,2016,10,21,Tarif normal,IG-16570,Iván Girón,Grand public,Dos Quebradas,Risaralda,Colombie,LATAM - Sud,OFF-ST-10001358,Fournitures de bureau,Stockage,none,"Rogers Folders, Wire Frame",2521.6,8,907.2
3,CO-2016-155047,2016,10,16,2016,10,21,Tarif normal,IG-16570,Iván Girón,Grand public,Dos Quebradas,Risaralda,Colombie,LATAM - Sud,OFF-LA-10004727,Fournitures de bureau,Étiquettes,none,"Hon File Folder Labels, Laser Printer Compatible",1932.8,2,540.8
4,CO-2016-155047,2016,10,16,2016,10,21,Tarif normal,IG-16570,Iván Girón,Grand public,Dos Quebradas,Risaralda,Colombie,LATAM - Sud,OFF-AR-10000751,Fournitures de bureau,Art,none,"Boston Highlighters, Fluorescent",354.4,4,49.6
5,CO-2016-155047,2016,10,16,2016,10,21,Tarif normal,IG-16570,Iván Girón,Grand public,Dos Quebradas,Risaralda,Colombie,LATAM - Sud,FUR-CH-10004774,Mobilier,Chaises,none,"Novimex Executive Leather Armchair, Red",716,2,114.4
6,CO-2016-155047,2016,10,16,2016,10,21,Tarif normal,IG-16570,Iván Girón,Grand public,Dos Quebradas,Risaralda,Colombie,LATAM - Sud,OFF-EN-10001991,Fournitures de bureau,Enveloppes,none,"Kraft Clasp Envelope, Set of 50",561.2,2,213.2
7,BR-2017-134096,2017,9,28,2017,10,2,Tarif normal,CV-13000,Cristina Vázquez,Grand public,São Paulo,São Paulo,Brésil,LATAM - Sud,OFF-EN-10001991,Fournitures de bureau,Enveloppes,none,"Kraft Clasp Envelope, Set of 50",561.2,2,213.2
8,BR-2017-134096,2017,9,28,2017,10,2,Tarif normal,CV-13000,Cristina Vázquez,Grand public,São Paulo,São Paulo,Brésil,LATAM - Sud,TEC-PH-10001163,Produits technologiques,Téléphones,none,"Motorola Speaker Phone, Cordless",3446.4,3,1654.2
9,BR-2017-134096,2017,9,28,2017,10,2,Tarif normal,CV-13000,Cristina Vázquez,Grand public,São Paulo,São Paulo,Brésil,LATAM - Sud,OFF-LA-10003210,Fournitures de bureau,Étiquettes,none,"Novimex Color Coded Labels, 5000 Label Set",973.6,4,194.4
10,BR-2017-134096,2017,9,28,2017,10,2,Tarif normal,CV-13000,Cristina Vázquez,Grand public,São Paulo,São Paulo,Brésil,LATAM - Sud,TEC-AC-10003403,Produits technologiques,Accessoires,none,"Enermax Router, USB",3415.2,2,136.4
